DATA_INICIAL,TOTAL_VALOR,DATA_FINAL,COD_FAVORECIDO,NOME_FAVORECIDO
01/01/2021,4500089.55,31/12/2021,"12350153000148",PREF MUNI AGUA BRANCA
01/01/2021,5592321.81,31/12/2021,"12227351000119",PREF MUNI ANADIA
01/01/2021,84193455.70,31/12/2021,"12198693000158",PREF MUNI ARAPIRACA
01/01/2021,14399700.67,31/12/2021,"12200143000126",PREF MUNI ATALAIA
01/01/2021,6048425.94,31/12/2021,"12262713000102",PREF MUNI BARRA DE SANTO ANTONIO
01/01/2021,4080040.74,31/12/2021,"12263869000108",PREF MUNI BARRA DE SAO MIGUEL
01/01/2021,6699429.70,31/12/2021,"12250056000183",PREF MUNI BATALHA
01/01/2021,3093891.83,31/12/2021,"12227641000162",PREF MUNI BELEM
01/01/2021,5148469.74,31/12/2021,"12250163000101",PREF MUNI BELO MONTE
01/01/2021,11602161.50,31/12/2021,"12264396000163",PREF MUNI BOCA DA MATA
01/01/2021,4636084.02,31/12/2021,"12332995000177",PREF MUNI BRANQUINHA
01/01/2021,5202514.79,31/12/2021,"12227971000158",PREF MUNI CACIMBINHAS
01/01/2021,5195797.14,31/12/2021,"12333738000150",PREF MUNI CAJUEIRO
01/01/2021,2830413.39,31/12/2021,"01631604000107",PREF MUNI CAMPESTRE
01/01/2021,20926502.45,31/12/2021,"12264628000183",PREF MUNI CAMPO ALEGRE
01/01/2021,5606420.45,31/12/2021,"12198701000166",PREF MUNI CAMPO GRANDE
01/01/2021,7587998.37,31/12/2021,"12367892000142",PREF MUNI CANAPI
01/01/2021,5901575.02,31/12/2021,"12333753000106",PREF MUNI CAPELA
01/01/2021,2880661.25,31/12/2021,"12250684000169",PREF MUNI CARNEIROS
01/01/2021,4494342.71,31/12/2021,"12334629000157",PREF MUNI CHA PRETA
01/01/2021,3629233.28,31/12/2021,"12198719000168",PREF MUNI COITE DO NOIA
